Field Name,Label,Type,Required,Unique,Picklist Values
DTAG_Is_Reopened_or_Appealed__c,Is Reopened or Appealed,boolean,True,False,
DTAG_Labor_Upper_Limits__c,Labor,currency,False,False,
DTAG_Middleware_Applicable_Policies__c,Middleware Applicable Policies,textarea,False,False,
DTAG_Mileage_Indicator__c,Mileage Indicator,string,False,False,
DTAG_Mileage_Start_Repair__c,Mileage Start Repair,double,False,False,
DTAG_Mileage_on_Part_Purchase__c,Mileage on Part Purchase,double,False,False,
DTAG_Miscellaneous_OtherCost_UpperLimits__c,Miscellaneous,currency,False,False,
DTAG_Non_OEM_Parts_Upper_Limits__c,Non-OEM Parts,currency,False,False,
DTAG_OEM_Parts_Upper_Limits__c,OEM Parts,currency,False,False,
DTAG_Old_Claim_Approval_Queue__c,Old Claim Approval Queue,string,False,False,
DTAG_Old_Claim_Status__c,Old Claim Status,string,False,False,
DTAG_Other_Costs_Upper_Limits__c,Other Costs,currency,False,False,
DTAG_Overall_Claim_Upper_Limit__c,Overall Claim Upper Limit,currency,False,False,
DTAG_Overall_Parts_Upper_Limits__c,Total Parts,currency,False,False,
DTAG_Paid_Date__c,Paid Date,datetime,False,False,
DTAG_Part_Purchase_Date__c,Part Purchase Date,date,False,False,
DTAG_Product_Category__c,Product Category,picklist,False,False,MB Truck Wörth
DTAG_Recommended_Labor_CS__c,Recommended Labor - CS,percent,False,False,
DTAG_Recommended_Parts_CS__c,Recommended Parts - CS,percent,False,False,
DTAG_Recommended_Sublets_CS__c,Recommended Sublets - CS,percent,False,False,
DTAG_Regular_Service_Base__c,Maintained as per OEM guidelines,boolean,True,False,
DTAG_Repair_End_Date__c,Repair End Date,date,False,False,
DTAG_Repair_Type__c,Repair Type,picklist,False,False,"1 - Damage with aggregate(Major) part, 7 - Damage with part position, 8 - Damage without part position"
DTAG_Retail_Account_Currency__c,Submitting Account Currency,string,False,False,
DTAG_Status_Before_Reopen_or_Appeal__c,Status Before Reopen or Appeal,string,False,False,
DTAG_Total_Approved_Dealer_Handling__c,Total Approved Dealer Handling,currency,False,False,
DTAG_Total_Claim_Approved_Amount__c,Total Claim Approved Amount,double,False,False,
DTAG_Total_Claim_Requested_Amount__c,Total Claim Requested Amount,double,False,False,
DTAG_Total_Claim__c,Total Claim,currency,False,False,
DTAG_Total_Labor_Time__c,Total Labor Units,double,False,False,
DTAG_Total_Labor_Units__c,Total Labor Units,double,False,False,
DTAG_Total_Labor__c,Total Labor,currency,False,False,
DTAG_Total_Other_Costs__c,Total Other Costs,currency,False,False,
DTAG_Total_Parts__c,Total Parts,currency,False,False,
DTAG_Towing_Other_Cost_Upper_Limits__c,Towing,currency,False,False,
DTAG_Travel_Other_Cost_Upper_Limits__c,Mileage Allowance,currency,False,False,
DTAG_Variant_Numeric__c,Variant (Numeric),double,False,False,
DTAG_W_G_Rejected__c,W&G Rejected,boolean,True,False,
DTAG_Wholesale_Account__c,Wholesale Account,reference,False,False,
DTAG_needPreApprovalFromDealer__c,needPreApprovalFromDealer,boolean,True,False,
Decision_Code_Name__c,Decision Code,string,False,False,
Field_Measure_Damage_Code__c,Field Measure Damage Code,reference,False,False,
Field_Measure_Template_Association__c,Field Measure Template Association,string,False,False,
DTAG_Total_Dealer_Handling__c,Total Dealer Handling,currency,False,False,
DTAG_Total_Requested_Landed_Cost__c,Total Requested Landed Cost,currency,False,False,
DTAG_Applicable_Covg_Same_As_Pre_Auth__c,Applicable Coverages Same As Pre-Auth,boolean,True,False,
DTAG_Causal_Part_Translated_Description__c,Causal Part Description,string,False,False,
DTAG_Claim_Status__c,Claim Status,string,False,False,
DTAG_Damage_Description__c,Damage Code Description,string,False,False,
DTAG_Damage_Type_In_Number__c,Damage Type In Number,double,False,False,
DTAG_Difference_Total_Req_to_App_Amt__c,Difference Total Req Amt to App Amt,double,False,False,
DTAG_Mileage_Ind__c,Mileage Indicator,string,False,False,
DTAG_Warranty_Start_Date__c,Warranty Registration Date,date,False,False,
DT_3C_Info_Cause__c,Cause,textarea,False,False,
DT_3C_Info_Complaint__c,Complaint,textarea,False,False,
DT_3C_Info_Corrective_Action__c,Corrective Action,textarea,False,False,
DT_Claim_Sub_Type__c,Claim Sub-Type,picklist,False,False,"Repair, Services, Servicing"
DT_Damage_Cause__c,Cause,string,False,False,
DT_Damage_Corrective_Action__c,Corrective  Action,string,False,False,
DT_Damage_Part_Description__c,Part Description,string,False,False,
DT_Damage_Position__c,Position,string,False,False,
DT_Estimated_3rd_Party_Labor__c,3rd Party Labor,double,False,False,
DT_Estimated_Charging__c,Charging,double,False,False,
DT_Estimated_Labor__c,Labor,double,False,False,
DT_Estimated_Miscellaneous__c,Miscellaneous,double,False,False,
DT_Estimated_Non_OEM__c,Non-OEM,double,False,False,
DT_Estimated_OEM__c,OEM,double,False,False,
DT_Estimated_Other_Costs__c,Other Costs,double,False,False,
DT_Estimated_Towing__c,Towing,double,False,False,
DT_Estimated_Travel__c,Travel,double,False,False,
DT_Retail_Account_Currency__c,Retail Account Currency,string,False,False,
DT_Variant_Name__c,Variant Name,string,False,False,
DT_Brand__c,Brand,picklist,False,False,"Freightliner, Fuso Truck & Bus"
DT_Field_Measure__c,Field Measure,reference,False,False,
DT_Damage_Primary_Failure_Part__c,Primary Failure Part,string,False,False,
DTAG_Account_FormulaField__c,Account,string,False,False,
DTAG_Causal_Part_Backend__c,Causal Part,string,False,False,
DTAG_Damage_Code_Formula__c,Damage Code,string,False,False,
DTAG_Inventory_Backend__c,Inventory,string,False,False,
DTAG_Mileage_End_Repair_Backend__c,Mileage End Repair,string,False,False,
DTAG_Mileage_Start_Repair_Backend__c,Mileage Start Repair,string,False,False,
DTAG_Mileage_on_Part_Purchase_Backend__c,Mileage on Part Purchase,string,False,False,
DTAG_Part_Number_Backend__c,Part Number,string,False,False,
DTAG_Part_Purchase_Backend__c,Part Purchase,string,False,False,
DTAG_Time_in_Service_Part__c,Time in Service (Part) in Months,double,False,False,
DTAG_Time_in_Service_Vehicle__c,Time in Service (Vehicle) in Months,double,False,False,
DTAG_Upper_Limits_Charging_Costs_BU__c,Charging Costs (BU),double,False,False,
DTAG_Upper_Limits_Foreign_Labor_BU__c,Foreign Labor (BU),double,False,False,
DTAG_Upper_Limits_Mileage_Allowance_BU__c,Mileage Allowance (BU),double,False,False,
DTAG_Upper_Limits_Miscellaneous_BU__c,Miscellaneous (BU),double,False,False,
DTAG_Upper_Limits_Non_OEM_Parts_BU__c,Non-OEM Parts (BU),double,False,False,
DTAG_Upper_Limits_OEM_Parts_BU__c,OEM Parts (BU),double,False,False,
