CurrencyIsoCode,WOD_2__Description__c,WOD_2__ShortDescription__c,DTAG_Business_Unit__c,DT_Brand__c,DTAG_External_Id__c
NZD,M1 690000,M1 690000,a0B9r000001UQPVEA4,Freightliner,S1690-NZ-901-AU-TOC-Local-Damage-Code
NZD,M1 705000,M1 705000,a0B9r000001UQPVEA4,Freightliner,S1705-NZ-901-AU-TOC-Local-Damage-Code
NZD,M1 720000,M1 720000,a0B9r000001UQPVEA4,Freightliner,S1720-NZ-901-AU-TOC-Local-Damage-Code
NZD,M1 735000,M1 735000,a0B9r000001UQPVEA4,Freightliner,S1735-NZ-901-AU-TOC-Local-Damage-Code
NZD,M2 750000,M2 750000,a0B9r000001UQPVEA4,Freightliner,S1750-NZ-901-AU-TOC-Local-Damage-Code
NZD,Contract Repair - Body,Contract Repair - Body,a0B9r000001UQPVEA4,Freightliner,21212-NZ-901-AU-TOC-Local-Damage-Code
NZD,Contract Repair - Fuel,Contract Repair - Fuel,a0B9r000001UQPVEA4,Freightliner,21213-NZ-901-AU-TOC-Local-Damage-Code
NZD,Contract Repair - Air Conditioning,Contract Repair - Air Conditioning,a0B9r000001UQPVEA4,Freightliner,21214-NZ-901-AU-TOC-Local-Damage-Code
NZD,Contract Repair - Brakes,Contract Repair - Brakes,a0B9r000001UQPVEA4,Freightliner,21215-NZ-901-AU-TOC-Local-Damage-Code
NZD,Breakdown Assistance,Breakdown Assistance,a0B9r000001UQPVEA4,Freightliner,21226-NZ-901-AU-TOC-Local-Damage-Code
NZD,Freightliner PDI,Freightliner PDI,a0B9r000001UQPVEA4,Freightliner,21500-NZ-901-AU-TOC-Local-Damage-Code
NZD,DT Freightliner Policy,DT Freightliner Policy,a0B9r000001UQPVEA4,Freightliner,21501-NZ-901-AU-TOC-Local-Damage-Code
NZD,DT Freightliner Commercial Vehicle Goodwill,DT Freightliner Commercial Vehicle Goodwill,a0B9r000001UQPVEA4,Freightliner,21562-NZ-901-AU-TOC-Local-Damage-Code
NZD,PM Front Eng Mounts,PM Front Eng Mounts,a0B9r000001UQPVEA4,Freightliner,21913-NZ-901-AU-TOC-Local-Damage-Code
NZD,PM Rear Eng Mount,PM Rear Eng Mount,a0B9r000001UQPVEA4,Freightliner,21914-NZ-901-AU-TOC-Local-Damage-Code
NZD,Service Contract - Fluid Top Up,Service Contract - Fluid Top Up,a0B9r000001UQPVEA4,Freightliner,21915-NZ-901-AU-TOC-Local-Damage-Code
NZD,Service Contract - Globes,Service Contract - Globes,a0B9r000001UQPVEA4,Freightliner,21916-NZ-901-AU-TOC-Local-Damage-Code
NZD,Service Contract - Wipers,Service Contract - Wipers,a0B9r000001UQPVEA4,Freightliner,21917-NZ-901-AU-TOC-Local-Damage-Code
NZD,Service Contract - Breakdown,Service Contract - Breakdown,a0B9r000001UQPVEA4,Freightliner,21918-NZ-901-AU-TOC-Local-Damage-Code
NZD,Service Contract - Pick-up Drop-off,Service Contract - Pick-up Drop-off,a0B9r000001UQPVEA4,Freightliner,21919-NZ-901-AU-TOC-Local-Damage-Code
