Id,Name,WOD_2__Units_Of_Measure__c,CurrencyIsoCode,WOD_2__Business_Unit__c,WOD_2__Business_Units__c,WOD_2__Item_Type__c,WOD_2__Major_Part__c,WOD_2__Parent_Product__c,WOD_2__Track_Type__c,WOD_2__Type__c,Business_Units_Text__c,Description_DE__c,Description_EN__c,Description_ES__c,Description_FR__c,Description_HU__c,Description_IT__c,Description_JA__c,Description_NL__c,Description_NO__c,Description_PL__c,Description_TR__c,Is_Active__c,Part_Return_Required__c,Photo_Required__c,Series_Code__c,TWOD_Eligible_for_Discount__c,Warranty_Product_Auto_Number__c,Warranty_Product_Code__c,Wearing_Part__c,KPAD_Number__c,Product_Name__c
a170E0000060TkOQAU,2.02E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TE8QAM,Serialzied,Model,KBT-EU,RT260-2,RT260-2,RT260-2,RT260-2,,RT260-2,,RT260-2,,RT260-2,RT260-2,TRUE,FALSE,FALSE,2020000130,FALSE,2281,20200,FALSE,20200-00550,2.02E+17
a170E0000060TkPQAU,2.02E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TE8QAM,Serialzied,Model,KBT-EU,RT280,RT280,RT280,RT280,,RT280,,RT280,,RT280,RT280,TRUE,FALSE,FALSE,2020000130,FALSE,2282,20200,FALSE,20200-00600,2.02E+17
a170E0000060TkQQAU,2.02E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TE8QAM,Serialzied,Model,KBT-EU,RT280-2,RT280-2,RT280-2,RT280-2,,RT280-2,,RT280-2,,RT280-2,RT280-2,TRUE,FALSE,FALSE,2020000130,FALSE,2283,20200,FALSE,20200-00650,2.02E+17
a170E0000060TkRQAU,2.02E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TE8QAM,Serialzied,Model,KBT-EU,RT305T-2,RT305T-2,RT305T-2,RT305T-2,,RT305T-2,,RT305T-2,,RT305T-2,RT305T-2,TRUE,FALSE,FALSE,2020000130,FALSE,2284,20200,FALSE,20200-00655,2.02E+17
a170E0000060TkSQAU,2.02E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TE9QAM,Serialzied,Model,KBT-EU,R065,R065,R065,R065,,R065,,R065,,R065,R065,TRUE,FALSE,FALSE,2020000140,FALSE,2285,20200,FALSE,20200-00100,2.02E+17
a170E0000060TkTQAU,2.02E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TE9QAM,Serialzied,Model,KBT-EU,R065 KTA,R065 KTA,R065 KTA,R065 KTA,,R065 KTA,,R065 KTA,,R065 KTA,R065 KTA,TRUE,FALSE,FALSE,2020000140,FALSE,2286,20200,FALSE,20200-00105,2.02E+17
a170E0000060TkUQAU,2.02E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TE9QAM,Serialzied,Model,KBT-EU,R085,R085,R085,R085,,R085,,R085,,R085,R085,TRUE,FALSE,FALSE,2020000140,FALSE,2287,20200,FALSE,20200-00110,2.02E+17
a170E0000060TkVQAU,2.02E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TE9QAM,Serialzied,Model,KBT-EU,R082,R082,R082,R082,,R082,,R082,,R082,R082,TRUE,FALSE,FALSE,2020000140,FALSE,2288,20200,FALSE,20200-00120,2.02E+17
a170E0000060TkWQAU,2.02E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TE9QAM,Serialzied,Model,KBT-EU,R070,R070,R070,R070,,R070,,R070,,R070,R070,TRUE,FALSE,FALSE,2020000140,FALSE,2289,20200,FALSE,20200-00150,2.02E+17
a170E0000060TkXQAU,2.02E+17,,EUR,a0B0E000006jwTNUAY,KBT-EU,Machine,FALSE,a170E0000060TE9QAM,Serialzied,Model,KBT-EU,R090,R090,R090,R090,,R090,,R090,,R090,R090,TRUE,FALSE,FALSE,2020000140,FALSE,2290,20200,FALSE,20200-00160,2.02E+17
