Name,CatalogId,ParentCategoryId,Description,NumberOfProducts,IsNavigational
Truss Components,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,,2,True
Weldment Options,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,,65,True
Boombacks,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,,83,True
Drop Options,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,,126,True
End Guns,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,,29,True
Fixed Sprays,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,,95,True
Impact Sprinklers,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,,11,True
Rotating Sprays,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,,100,True
Sprinkler Fittings,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,,255,True
Sprinkler Gauges,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,,16,True
Sprinkler Nozzles,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,,572,True
Sprinkler Regulators,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,,83,True
Sprinkler Repair,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,,123,True
U-Pipes,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,,22,True
Valves,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,,50,True
Add Span Packages,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,,58,True
Drive Unit Structure,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,,370,True
Overhang Packages,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,,10,True
Pipe & Stubs,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,,511,True
Pivot Flex Options,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,,0,True
Pivot Point,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,,721,True
Truss Angles,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,,297,True
Truss Rods,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,,129,True
Battery,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,,10,True
Electrical Relays and Bases,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,,7,True
Overhang Cable,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,,134,True
VRI,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,,59,True
X-TEC Options,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,,19,True
Control Valves,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,,61,True
Control Panel Repair,0ZSRj00000002rROAQ,0ZGRj00000002t4OAA,,64,True
Pressure Switches,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,,7,True
Terminal Options,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,,74,True
Pumping Options,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,,21,True
Merchandising,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,,7,True
Miscellaneous Merchandising,0ZSRj00000002rROAQ,0ZGRj00000003NhOAI,,7,True
Above Ground Guidance,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,,7,True
Pump Control Options,0ZSRj00000002rROAQ,0ZGRj00000002t4OAA,,14,True
Owner's Manual,0ZSRj00000002rROAQ,0ZGRj00000002tCOAQ,,17,True
Installation Manual,0ZSRj00000002rROAQ,0ZGRj00000002tCOAQ,,29,True
Machine Diagnostics,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,,10,True
