Name,CatalogId,ParentCategoryId,IsNavigational
Boombacks,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True
Drop Options,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True
End Guns,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True
Fixed Sprays,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True
Impact Sprinklers,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True
Rotating Sprays,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True
Sprinkler Fittings,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True
Sprinkler Gauges,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True
Sprinkler Nozzles,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True
Sprinkler Regulators,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True
Sprinkler Repair,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True
U-Pipes,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True
Valves,0ZSRj00000002rROAQ,0ZGRj00000002tFOAQ,True
Add Span Packages,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,True
Drive Unit Structure,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,True
Overhang Packages,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,True
Pipe & Stubs,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,True
Pivot Flex Options,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,True
Pivot Point,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,True
Truss Angles,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,True
Truss Rods,0ZSRj00000002rROAQ,0ZGRj00000002tGOAQ,True
Battery,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Electrical Relays and Bases,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Overhang Cable,0ZSRj00000002rROAQ,0ZGRj00000002tEOAQ,True
VRI,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True
X-TEC Options,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True
Control Valves,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,True
Control Panel Repair,0ZSRj00000002rROAQ,0ZGRj00000002t4OAA,True
Pressure Switches,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Terminal Options,0ZSRj00000002rROAQ,0ZGRj00000002t8OAA,True
Pumping Options,0ZSRj00000002rROAQ,0ZGRj00000002t3OAA,True
Merchandising,0ZSRj00000002rROAQ,0ZGRj00000002rROAQ,True
Miscellaneous Merchandising,0ZSRj00000002rROAQ,0ZGRj00000003NhOAI,True
Above Ground Guidance,0ZSRj00000002rROAQ,0ZGRj00000002tAOAQ,True
Pump Control Options,0ZSRj00000002rROAQ,0ZGRj00000002t4OAA,True
Owner's Manual,0ZSRj00000002rROAQ,0ZGRj00000002tCOAQ,True
Installation Manual,0ZSRj00000002rROAQ,0ZGRj00000002tCOAQ,True
Machine Diagnostics,0ZSRj00000002rROAQ,0ZGRj00000002tBOAQ,True
