Name,WOD_2__Description__c,WOD_2__Business_Units__c
Output Voltage Low-F219,Output Voltage Low,VRM-NA
Control Bearing Seized-F22,Control Bearing Seized,VRM-NA
Output Current Low-F220,Output Current Low,VRM-NA
Frequency Incorrect-F221,Frequency Incorrect,VRM-NA
Signal Weak-F222,Signal Weak,VRM-NA
Incorrect Resistance Reading-F223,Incorrect Resistance Reading,VRM-NA
Dent in Pipe-F224,Dent in Pipe,VRM-NA
Cold Solder Joint-F225,Cold Solder Joint,VRM-NA
External Connection Failure-F226,External Connection Failure,VRM-NA
Relay Failure-F227,Relay Failure,VRM-NA
Leaking-F228,Leaking,VRM-NA
Coil Bad-F229,Coil Bad,VRM-NA
Corrosion-F23,Corrosion,VRM-NA
Won't close-F230,Won't close,VRM-NA
Will Not Rotate-F231,Will Not Rotate,VRM-NA
STB ER 20 - Override Table Checksum-F232,STB ER 20 - Override Table Checksum,VRM-NA
120 Volt Input/Output Failure-F233,120 Volt Input/Output Failure,VRM-NA
5 Volt Input/Output Failure-F234,5 Volt Input/Output Failure,VRM-NA
Coupling Failure-F235,Coupling Failure,VRM-NA
Terminal Strip Stripped Out-F236,Terminal Strip Stripped Out,VRM-NA
Flanges not Square-F237,Flanges not Square,VRM-NA
Flanges Out of Time-F238,Flanges Out of Time,VRM-NA
Weld Cracked-F239,Weld Cracked,VRM-NA
Corrosion On Wheel-F24,Corrosion On Wheel,VRM-NA
Won't Break Safety-F240,Won't Break Safety,VRM-NA
Shim Gearboxes-F241,Shim Gearboxes,VRM-NA
Plug Removal-F242,Plug Removal,VRM-NA
Software Update-F245,Software Update,VRM-NA
Freight to Return Parts-F246,Freight to Return Parts,VRM-NA
Phase Burned One End-F247,Phase Burned One End,VRM-NA
Phase Burned Both Ends-F248,Phase Burned Both Ends,VRM-NA
Charred Failure one end-F249,Charred Failure one end,VRM-NA
Damaged In Shipment-F25,Damaged In Shipment,VRM-NA
Charred Failure Both Ends-F250,Charred Failure Both Ends,VRM-NA
Software Update-F251,Software Update,VRM-NA
Galvanizing Burrs-F252,Galvanizing Burrs,VRM-NA
System out of Alignment-F253,System out of Alignment,VRM-NA
Impeller Seized-F254,Impeller Seized,VRM-NA
Percent timer runs at 100% at all times-F255,Percent timer runs at 100% at all times,VRM-NA
Cracked Pivot Swivel-F256,Cracked Pivot Swivel,VRM-NA
Contact Warranty Department - Not within-F258,Contact Warranty Department - Not within,VRM-NA
No holes in shaft-F259,No holes in shaft,VRM-NA
Display Failure-F26,Display Failure,VRM-NA
Rims Wallowed/Lug Nuts Loose-F260,Rims Wallowed/Lug Nuts Loose,VRM-NA
Input Shaft Broken-F261,Input Shaft Broken,VRM-NA
Cracking/Pealing-F262,Cracking/Pealing,VRM-NA
Threads Missing-F263,Threads Missing,VRM-NA
Factory Wiring Loose-F264,Factory Wiring Loose,VRM-NA
Coasting-F265,Coasting,VRM-NA
Encoder Failure-F266,Encoder Failure,VRM-NA
Electrical Component Failure-F27,Electrical Component Failure,VRM-NA
Galvanizing Bare Spots-F29,Galvanizing Bare Spots,VRM-NA
5 Volt Power Supply-F3,5 Volt Power Supply,VRM-NA
Galvanizing Quality-F30,Galvanizing Quality,VRM-NA
Gears Locked Up-F32,Gears Locked Up,VRM-NA
Harness Failure-F35,Harness Failure,VRM-NA
High Voltage Short-F36,High Voltage Short,VRM-NA
Housing Damaged-F37,Housing Damaged,VRM-NA
Inconsistent Position-F38,Inconsistent Position,VRM-NA
5 Volt Power Supply Failure-F4,5 Volt Power Supply Failure,VRM-NA
Input Seal Leaking-F40,Input Seal Leaking,VRM-NA
Keypad Error 13-F41,Keypad Error 13,VRM-NA
Keypad Failure-F42,Keypad Failure,VRM-NA
Latch Inoperable-F43,Latch Inoperable,VRM-NA
Lug Bolts Broken-F44,Lug Bolts Broken,VRM-NA
Motor Using Excessive Current-F49,Motor Using Excessive Current,VRM-NA
A - D Failure-F5,A - D Failure,VRM-NA
No Response From Keypad-F50,No Response From Keypad,VRM-NA
Noise Excessive-F51,Noise Excessive,VRM-NA
Oil Reservoir Empty-F52,Oil Reservoir Empty,VRM-NA
Other -- Fill in Comments-F53,Other -- Fill in Comments,VRM-NA
Output Seal Leaking-F55,Output Seal Leaking,VRM-NA
Output Shaft Broken-F56,Output Shaft Broken,VRM-NA
Part Dimensions Incorrect-F57,Part Dimensions Incorrect,VRM-NA
PCB Cracked-F58,PCB Cracked,VRM-NA
Phase To Ground Short-F59,Phase To Ground Short,VRM-NA
Phase To Phase Open-F60,Phase To Phase Open,VRM-NA
Phase To Phase Short-F61,Phase To Phase Short,VRM-NA
Phase To Phase Resistance Unbalanced-F62,Phase To Phase Resistance Unbalanced,VRM-NA
Pressure Reading Incorrect-F63,Pressure Reading Incorrect,VRM-NA
Resolver Input Error-F64,Resolver Input Error,VRM-NA
Resolver Volts Incorrect-F65,Resolver Volts Incorrect,VRM-NA
Rim Damaged-F66,Rim Damaged,VRM-NA
Rotor Failed-F67,Rotor Failed,VRM-NA
Screen Failure-F68,Screen Failure,VRM-NA
Seal Leaking-F69,Seal Leaking,VRM-NA
Seal Missing-F70,Seal Missing,VRM-NA
Seam Leaking-F71,Seam Leaking,VRM-NA
Seam Split-F72,Seam Split,VRM-NA
Shipment Damage-F73,Shipment Damage,VRM-NA
Short In Junction Box-F74,Short In Junction Box,VRM-NA
Single Phasing-F75,Single Phasing,VRM-NA
Snap Ring Failed-F76,Snap Ring Failed,VRM-NA
Hitch ball bolt failed-F77,Hitch ball bolt failed,VRM-NA
Switch Failure-F78,Switch Failure,VRM-NA
Backlight Failure-F8,Backlight Failure,VRM-NA
Thermal Protection Failure-F80,Thermal Protection Failure,VRM-NA
Tire Leaking Air-F82,Tire Leaking Air,VRM-NA
Tire Split-F83,Tire Split,VRM-NA
Tower Ahead Forward-F84,Tower Ahead Forward,VRM-NA
Tower Ahead Reverse-F85,Tower Ahead Reverse,VRM-NA
Tower Behind Forward-F86,Tower Behind Forward,VRM-NA
Tower Behind Reverse-F87,Tower Behind Reverse,VRM-NA
Trace Failure-F88,Trace Failure,VRM-NA
Hole in Pipe-F90,Hole in Pipe,VRM-NA
Tube Pinched-F91,Tube Pinched,VRM-NA
Valve Stem Leaking-F92,Valve Stem Leaking,VRM-NA
Valve Stem Missing-F93,Valve Stem Missing,VRM-NA
Voltage Display Inconsistent-F94,Voltage Display Inconsistent,VRM-NA
Weld Failure-F95,Weld Failure,VRM-NA
Worm Broken-F96,Worm Broken,VRM-NA
Coupler Failure (Worm)-F97,Coupler Failure (Worm),VRM-NA
Bead Damaged-F98,Bead Damaged,VRM-NA
Repair In Season-R10,Repair In Season,VRM-NA
Repair Out of Season-R11,Repair Out of Season,VRM-NA
Replace Component-R13,Replace Component,VRM-NA
Replace In Season-R14,Replace In Season,VRM-NA
Replace Out of Season-R15,Replace Out of Season,VRM-NA
Replace Gearmotor-R16,Replace Gearmotor,VRM-NA
Replace Motor Module-R17,Replace Motor Module,VRM-NA
Replace Tower Box-R18,Replace Tower Box,VRM-NA
Replace Multiple Components-R20,Replace Multiple Components,VRM-NA
Replace Part After Assembly-R22,Replace Part After Assembly,VRM-NA
